Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Afghanistan,AFG,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Albania,ALB,5590528223.53168
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Algeria,DZA,43343767861.8496
Exports of goods and services (current US$),NE.EXP.GNFS.CD,American Samoa,ASM,334000000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Andorra,AND,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Angola,AGO,29843731084.8329
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Antigua and Barbuda,ATG,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Argentina,ARG,87867694033.2054
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Armenia,ARM,4898064989.97558
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Aruba,ABW,2154231632.83799
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Australia,AUS,342753936860.96
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Austria,AUT,268527420305.887
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Azerbaijan,AZE,25487647058.8235
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Bahamas, The",BHS,3081800000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bahrain,BHR,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh,BGD,44385410500.6474
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Barbados,BRB,1471300000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Belarus,BLR,49183440343.4829
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Belgium,BEL,516056445491.852
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Belize,BLZ,1158000000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Benin,BEN,4878137303.47475
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bermuda,BMU,3549714000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bhutan,BTN,808222826.020804
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bolivia,BOL,11243140347.7867
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bosnia and Herzegovina,BIH,9968951378.80987
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Botswana,BWA,7858650140.25056
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,323361431299.125
Exports of goods and services (current US$),NE.EXP.GNFS.CD,British Virgin Islands,VGB,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brunei Darussalam,BRN,11228914277.4222
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bulgaria,BGR,51548528237.9973
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Burkina Faso,BFA,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Burundi,BDI,138998735.910343
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cabo Verde,CPV,476614904.187062
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cambodia,KHM,17417509553.2442
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cameroon,CMR,7575052201.79875
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Canada,CAN,611121393735.116
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cayman Islands,CYM,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Central African Republic,CAF,357002527.903324
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Chad,TCD,4564757550.84434
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Channel Islands,CHI,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Chile,CHL,101112504544.894
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,3553509241460.01
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Colombia,COL,51599165400.1063
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Comoros,COM,140072575.018788
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Congo, Dem. Rep.",COD,22353947838.6733
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Congo, Rep.",COG,7813576416.95942
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Costa Rica,CRI,23226248400.9351
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cote d'Ivoire,CIV,16083020558.465
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Croatia,HRV,35358791830.0579
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cuba,CUB,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Curacao,CUW,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cyprus,CYP,24606031933.767
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Czechia,CZE,204941777056.793
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Denmark,DNK,237621916036.214
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Djibouti,DJI,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Dominica,DMA,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Dominican Republic,DOM,20500497765.6843
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ecuador,ECU,27803104000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Egypt, Arab Rep.",EGY,44850223072.0204
Exports of goods and services (current US$),NE.EXP.GNFS.CD,El Salvador,SLV,8490950000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Equatorial Guinea,GNQ,6806230926.43924
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Eritrea,ERI,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Estonia,EST,29119437814.5654
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Eswatini,SWZ,2137038522.93789
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ethiopia,ETH,8448635570.26166
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Faroe Islands,FRO,1923048782.42751
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Fiji,FJI,1173174616.53627
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Finland,FIN,117187092662.789
Exports of goods and services (current US$),NE.EXP.GNFS.CD,France,FRA,871058669864.327
Exports of goods and services (current US$),NE.EXP.GNFS.CD,French Polynesia,PYF,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Gabon,GAB,11280880844.737
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Gambia, The",GMB,131923456.425636
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Georgia,GEO,8045446632.88156
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Germany,DEU,2003471014267.41
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ghana,GHA,23206601900.9723
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Gibraltar,GIB,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Greece,GRC,87827556199.797
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Greenland,GRL,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Grenada,GRD,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guam,GUM,186000000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guatemala,GTM,15296677104.8821
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guinea,GIN,10349491215.1011
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guinea-Bissau,GNB,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guyana,GUY,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Haiti,HTI,1490135681.18388
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Honduras,HND,10957691939.3589
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Hong Kong SAR, China",HKG,751362887871.147
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Hungary,HUN,148291830254.915
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Iceland,ISL,9779499272.6097
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,679680586359.909
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Indonesia,IDN,255731268263.145
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Iran, Islamic Rep.",IRN,82155721445.667
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Iraq,IRQ,78260500000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ireland,IRL,677696001242.466
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Isle of Man,IMN,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Israel,ISR,143915002605.368
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Italy,ITA,688582419700.764
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Jamaica,JAM,4042306381.51974
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Japan,JPN,910488958468.817
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Jordan,JOR,13864084507.0423
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kazakhstan,KAZ,66124956005.7055
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kenya,KEN,11662731888.7572
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kiribati,KIR,26292067.3076923
