Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,14786861638.4535
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,18255787479.1846
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,163044443983.759
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,709000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3330281523.53915
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,67404287260.3199
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1471125925.92593
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,487227339102.67
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,13861409968.835
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,3126019399.06492
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1552667363236.06
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,480368403893.364
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,54622176470.5882
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,11208600000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,38868663031.9149
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,416264942893.326
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,4843800000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,68205380706.6609
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,594104177539.525
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,2491500000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,17144918952.4682
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,7286607000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,2539552984.67797
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,40408208528.1599
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,23365361635.2201
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,17614791265.6824
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1608981456325.08
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,14006569575.68
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,84056312734.3089
