Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Afghanistan,AFG,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Albania,ALB,8016544325.73416
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Algeria,DZA,43020958890.7218
Imports of goods and services (current US$),NE.IMP.GNFS.CD,American Samoa,ASM,724000000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Andorra,AND,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Angola,AGO,10917707594.4868
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Antigua and Barbuda,ATG,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Argentina,ARG,72817358027.6806
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Armenia,ARM,6075564642.59484
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Aruba,ABW,2133552214.74096
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Australia,AUS,276295245913.874
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Austria,AUT,265749328901.159
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Azerbaijan,AZE,16336941176.4706
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Bahamas, The",BHS,4722500000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bahrain,BHR,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bangladesh,BGD,71019901846.7989
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Barbados,BRB,1960350000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Belarus,BLR,45443731043.4474
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Belgium,BEL,509809684270.147
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Belize,BLZ,1248500000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Benin,BEN,5878287109.01417
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bermuda,BMU,1713731000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bhutan,BTN,1339263828.5729
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bolivia,BOL,12605111071.5703
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bosnia and Herzegovina,BIH,12750109458.1519
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Botswana,BWA,8783714114.34705
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Brazil,BRA,306975109372.683
Imports of goods and services (current US$),NE.IMP.GNFS.CD,British Virgin Islands,VGB,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Brunei Darussalam,BRN,9377986859.65173
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bulgaria,BGR,50137823799.7339
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Burkina Faso,BFA,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Burundi,BDI,662106262.125756
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Cabo Verde,CPV,1123172277.70143
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Cambodia,KHM,18228762398.838
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Cameroon,CMR,9231793659.03457
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Canada,CAN,609185797030.302
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Cayman Islands,CYM,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Central African Republic,CAF,767508074.485326
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Chad,TCD,5210833232.49732
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Channel Islands,CHI,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Chile,CHL,103175390728.648
Imports of goods and services (current US$),NE.IMP.GNFS.CD,China,CHN,3091259284838.91
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Colombia,COL,76863163971.2141
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Comoros,COM,407884683.901511
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Congo, Dem. Rep.",COD,22193237569.0758
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Congo, Rep.",COG,4966529355.36301
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Costa Rica,CRI,22161096139.2895
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Cote d'Ivoire,CIV,15941291126.3524
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Croatia,HRV,36372788194.34
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Cuba,CUB,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Curacao,CUW,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Cyprus,CYP,23776108811.3542
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Czechia,CZE,196596652545.956
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Denmark,DNK,209195706477.894
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Djibouti,DJI,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Dominica,DMA,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Dominican Republic,DOM,29198662388.5245
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Ecuador,ECU,26751297000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Egypt, Arab Rep.",EGY,81943913320.5864
Imports of goods and services (current US$),NE.IMP.GNFS.CD,El Salvador,SLV,15753950000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Equatorial Guinea,GNQ,5716807022.58685
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Eritrea,ERI,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Estonia,EST,29255091031.6895
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Eswatini,SWZ,2177895950.86381
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Ethiopia,ETH,18540745790.8618
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Faroe Islands,FRO,1905568545.11619
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Fiji,FJI,2344789748.8979
